<Response [200]>symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"AMZN","2018-04-02T00:00:00-04:00","2018-04-02","1417.62","1421.36","1355","1371.99","10463600",""
"AMZN","2018-04-03T00:00:00-04:00","2018-04-03","1391.38","1414","1355.33","1392.05","10231200",""
"AMZN","2018-04-04T00:00:00-04:00","2018-04-04","1358.24","1415.39","1352.88","1410.57","6982300",""
"AMZN","2018-04-05T00:00:00-04:00","2018-04-05","1441.99","1459.56","1427.07","1451.75","6413400",""
"AMZN","2018-04-06T00:00:00-04:00","2018-04-06","1429.97","1452.5","1400.26","1405.23","5882200",""
"AMZN","2018-04-09T00:00:00-04:00","2018-04-09","1425.03","1438.48","1402.57","1406.08","4208200",""
"AMZN","2018-04-10T00:00:00-04:00","2018-04-10","1431.99","1438.38","1415.7","1436.22","4280100",""
"AMZN","2018-04-11T00:00:00-04:00","2018-04-11","1439.44","1448.78","1424.89","1427.05","3582500",""
"AMZN","2018-04-12T00:00:00-04:00","2018-04-12","1439.5","1452.12","1435.06","1448.5","3135000",""
"AMZN","2018-04-13T00:00:00-04:00","2018-04-13","1449.14","1459.78","1424.52","1430.79","3685200",""
"AMZN","2018-04-16T00:00:00-04:00","2018-04-16","1445","1447","1427.48","1441.5","2808600",""
"AMZN","2018-04-17T00:00:00-04:00","2018-04-17","1462.3","1507.19","1457.02","1503.83","5114400",""
"AMZN","2018-04-18T00:00:00-04:00","2018-04-18","1514.65","1533.8","1504.11","1527.84","5227500",""
"AMZN","2018-04-19T00:00:00-04:00","2018-04-19","1543.22","1568.52","1539.06","1556.91","6523700",""
"AMZN","2018-04-20T00:00:00-04:00","2018-04-20","1561.2","1561.2","1516.09","1527.49","5541600",""
"AMZN","2018-04-23T00:00:00-04:00","2018-04-23","1546.69","1548","1503.41","1517.86","4465400",""
"AMZN","2018-04-24T00:00:00-04:00","2018-04-24","1535.8","1539.5","1448.45","1460.09","7494600",""
"AMZN","2018-04-25T00:00:00-04:00","2018-04-25","1458","1469.99","1415.02","1460.17","6587200",""
"AMZN","2018-04-26T00:00:00-04:00","2018-04-26","1485.01","1529.42","1478.5","1517.96","8801100",""
"AMZN","2018-04-27T00:00:00-04:00","2018-04-27","1634.01","1638.1","1567.39","1572.62","13053200",""
"AMZN","2018-04-30T00:00:00-04:00","2018-04-30","1582.5","1596","1560.94","1566.13","5464000",""
"AMZN","2018-05-01T00:00:00-04:00","2018-05-01","1563.22","1585","1552.18","1582.26","4572000",""
"AMZN","2018-05-02T00:00:00-04:00","2018-05-02","1580.98","1588.5","1566.36","1569.68","4360200",""
"AMZN","2018-05-03T00:00:00-04:00","2018-05-03","1560.01","1574.8","1546.02","1572.075","4251900",""
"AMZN","2018-05-04T00:00:00-04:00","2018-05-04","1562.45","1584.9","1562.19","1580.95","3443500",""
"AMZN","2018-05-07T00:00:00-04:00","2018-05-07","1589.34","1606.95","1587.83","1600.14","3801800",""
"AMZN","2018-05-08T00:00:00-04:00","2018-05-08","1595","1596.88","1582.51","1592.39","3067900",""
"AMZN","2018-05-09T00:00:00-04:00","2018-05-09","1600","1608","1592","1608","3637300",""
"AMZN","2018-05-10T00:00:00-04:00","2018-05-10","1608.48","1615.6","1603.44","1609.08","2817400",""
"AMZN","2018-05-11T00:00:00-04:00","2018-05-11","1610.99","1611.1","1597.89","1602.91","2263900",""
"AMZN","2018-05-14T00:00:00-04:00","2018-05-14","1604","1611.18","1600.05","1601.54","2509400",""
"AMZN","2018-05-15T00:00:00-04:00","2018-05-15","1587.8","1587.805","1565.22","1576.12","5077400",""
"AMZN","2018-05-16T00:00:00-04:00","2018-05-16","1577.5","1594.43","1576.67","1587.28","2570500",""
"AMZN","2018-05-17T00:00:00-04:00","2018-05-17","1580.56","1594.04","1573","1581.76","2147600",""
